day,러시아군의 공격을,여행 수요가,서울디지털재단,ETF,핼러윈,원전,억원작년 동기,김태종 특파원,대한민국시도의회,행정안전부 장관이,폭발,지진,국정원장,국회 정무위원장
20,1.0,,,2.0,,11.0,11.0,1.0,1.0,17.0,4.0,2.0,,1.0
21,3.0,,,2.0,,11.0,11.0,2.0,,,1.0,1.0,,
22,,,,,,,,,,,3.0,,2.0,
23,1.0,1.0,,,,,,,,,,,,
24,,1.0,,1.0,,6.0,6.0,4.0,,6.0,1.0,1.0,,
25,,,,3.0,,11.0,11.0,2.0,,3.0,2.0,1.0,,
26,1.0,,,,,7.0,7.0,2.0,,2.0,1.0,4.0,26.0,
27,,1.0,,5.0,,10.0,10.0,1.0,,,3.0,1.0,21.0,1.0
28,,,,2.0,,4.0,4.0,2.0,,6.0,2.0,,2.0,
29,,,,,,7.0,7.0,,,5.0,,67.0,,
30,,2.0,1.0,1.0,282.0,1.0,1.0,1.0,,6.0,4.0,6.0,,
31,,,,2.0,208.0,11.0,11.0,1.0,,18.0,6.0,4.0,,
